vA,aA,aA0,vB,aB,aB0,h0,cross,x1,x2
9.198440085,-0.34098822,-0.188688041,6.696685747,0.026685928,-2.471838842,10.46732535,0,2,1
1.131591799,-0.004051212,-0.122471908,8.359677027,0.183974715,-1.284754059,17.03973298,0,2,1
6.703290237,-0.419028316,9.306588657,9.972532276,0.665172351,-3.703541753,8.400482129,0,2,1
2.925423046,-0.810509159,0.928701772,9.320225319,-0.172800716,-3.292055887,6.802095265,0,2,1
5.438841788,-0.244738469,-0.438831798,3.887685687,0.919385993,-0.634393183,14.31090493,0,2,1
0.462385121,-0.107841832,0.315645328,6.311204322,-0.671820627,-0.427408542,13.41435798,0,2,1
5.890848835,-0.333284974,4.973330474,5.735023976,-0.246201279,-2.050669086,4.161117638,0,2,1
0.660302961,-0.335186007,0.582198447,5.523594844,-0.437483848,-0.542096042,6.339124545,0,2,1
1.520690633,0.385674741,10.86808229,8.8692728,-0.006718256,-0.939678125,7.814000256,0,2,1
6.070296533,-0.334076999,0.203401595,6.310530881,0.995251989,-1.603021257,13.75937862,0,2,1
5.000489976,-0.748652401,0.321315961,7.337744885,-0.154420387,-2.644285256,9.348652309,0,2,1
3.362038072,0.056580141,4.070799964,7.416205229,0.826158953,-1.359507321,11.87471684,0,2,1
3.401293871,0.056050679,14.76621526,7.348421599,0.581884769,-1.718755729,3.068941185,0,2,1
0.489650554,0.012317666,0.992657135,7.59420832,-0.232787231,-0.54066653,9.98002004,0,2,1
0.5,0.240555941,3.116007405,7.333764381,-0.414163183,-0.552813253,2.884042302,0,2,1
4.440011261,-0.416665598,0.260902449,5.952789262,-0.410187864,-0.993961123,19.46000257,0,2,1
4.33,-0.666666667,3.208310773,6.064091028,-0.083001726,-1.469031169,8.208392047,0,2,1
0.528866713,0.30240111,5.113540697,6.983695297,-0.082811191,-0.373991813,5.830694641,0,2,1
0.726911274,0.642323132,10.30120129,7.823202669,-0.573043581,-0.590124068,2.954623495,0,2,1
0.672681202,0.409350791,12.13096244,7.379241153,-0.25722653,-0.379105396,4.528598017,0,2,1
5.423688782,-0.416380646,2.710139561,6.386587508,0.587836136,-1.772972834,9.066796568,0,2,1
3.473686802,-0.083244632,2.39907573,6.336600035,0.324427631,-1.17822799,11.95542136,0,2,1
2.87015679,0,1.805916455,6.709411301,0.243035138,-0.987935361,16.75010746,0,2,1
3.638804749,-0.012025563,14.24234946,6.506996235,-0.498681865,-1.484025188,2.727196363,0,2,1
3.26300475,-0.256470139,10.92093841,7.060233707,-0.1664244,-2.00320628,2.020544481,0,2,1
0.743878248,0.035406916,0.534326226,10.21207618,-0.597101086,-1.049804067,18.57128159,0,2,1
0.756637298,0.271162406,1.017188152,9.825069974,-0.762450534,-1.061109372,12.56280224,0,2,1
7.052630715,-0.297688032,12.84780686,9.208192005,-0.012851952,-3.859565652,5.370176906,0,2,1
6.352841884,-1.269381468,7.653756386,8.942354276,0.249098495,-4.274365655,4.700521248,0,2,1
0.951892851,0.767814998,1.594017776,9.498636744,0.315032429,-1.360083119,7.029061104,0,2,1
6.042681524,-0.668812669,2.008884122,8.141406512,0.581812611,-2.402349865,12.84622902,0,2,1
5.581755996,-1.418285826,9.599854778,7.366260924,-0.082922563,-2.904527023,3.388819854,0,2,1
3.550690074,-0.416584531,3.255229022,7.736827515,0.649397994,-1.38096464,14.82016532,0,2,1
2.20184014,-0.495874708,24.94999521,8.196511453,0.067779773,-1.351762766,1.749285568,0,2,1
6.715839486,-0.249781648,0.83574894,5.6209074,0.42108173,-1.69014517,9.510651923,0,2,1
6.147324621,-0.915554558,0.511759959,5.726927623,0.338784938,-2.241912964,6.617529751,0,2,1
3.993619912,-0.894898362,-1.100846975,5.277698362,0.754590726,-0.917954327,16.35552812,0,2,1
7.470187414,-0.586865869,2.016238954,7.30985636,-0.30079414,-2.577178902,9.82732924,0,2,1
3.860634663,-1.502458372,-0.873581278,8.360059808,-1.252579231,-1.646781114,23.45781746,0,2,2
1.977169694,0.361456557,-0.549480636,8.048863274,-1.326765199,-2.474569355,5.532061099,0,2,1
3.831461862,-0.082647262,27.64753223,8.417155101,0.256742921,-2.008323458,2.435261793,0,2,1
3.728404484,-0.099060814,2.098477464,6.573051042,0.249127251,-1.578416323,9.704524718,0,2,1
0.156836533,-0.00133659,0.129240217,2.458007323,0.931326695,-0.05097346,11.47675912,0,2,1
0.155241747,-0.080329576,0.447482138,3.382558203,0.496723441,-0.0710531,7.563835006,0,2,1
0.041231056,-0.157253137,0.113695757,3.374314745,0.235849124,-0.018755736,23.17370277,0,2,1
1.026255329,0.069953086,0.438572639,8.373016183,-1.220361542,-0.931182186,21.52223269,0,2,1
3.720860116,-0.24994174,0.96583538,5.5532513,0.342301535,-0.944500874,15.04876407,0,2,1
